                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.41053,                0.27552,                0.81575,                0.98004,                 0.9813,                0.99294,                0.85906,                0.56089,                 0.3039,                0.72895,              0.0074755,              0.0074755,              0.0074755
                     53,                0.40861,                0.26816,                0.81384,                0.98337,                0.97244,                0.99262,                0.86766,                0.55916,                0.29352,                0.73205,               0.007426,               0.007426,               0.007426
                     54,                0.40128,                0.27168,                0.81396,                0.97841,                0.98148,                0.99324,                0.85938,                0.61039,                0.30292,                0.74497,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.4062,                0.26756,                 0.8139,                0.98122,                 0.9771,                 0.9917,                0.85577,                0.59006,                0.30126,                0.73451,               0.007327,               0.007327,               0.007327
                     56,                0.40325,                 0.2734,                0.81436,                0.98317,                0.97775,                0.99321,                0.86791,                0.55853,                 0.2795,                0.72908,              0.0072775,              0.0072775,              0.0072775
                     57,                0.39797,                0.26572,                 0.8131,                0.98409,                0.97397,                0.99261,                0.85087,                0.58093,                0.28775,                0.73628,               0.007228,               0.007228,               0.007228
                     58,                0.39593,                 0.2632,                0.81051,                 0.9888,                0.97441,                0.99314,                0.85446,                0.59256,                0.30492,                0.74521,              0.0071785,              0.0071785,              0.0071785
                     59,                 0.3979,                0.26604,                0.81441,                 0.9841,                0.97471,                0.99277,                0.84543,                0.61242,                0.31315,                0.75238,               0.007129,               0.007129,               0.007129
                     60,                0.39429,                0.26058,                0.81182,                0.97758,                0.98425,                0.99336,                 0.8562,                0.60549,                0.29058,                0.74218,              0.0070795,              0.0070795,              0.0070795
                     61,                0.39166,                0.26652,                0.81227,                0.98491,                0.97638,                0.99306,                0.85313,                0.60995,                 0.3073,                0.74253,                0.00703,                0.00703,                0.00703
                     62,                0.39182,                0.25738,                0.81222,                0.99095,                0.97004,                0.99286,                0.85076,                0.61518,                0.30317,                0.74443,              0.0069805,              0.0069805,              0.0069805
                     63,                0.38598,                0.25838,                0.81225,                0.98493,                0.97835,                0.99318,                0.86204,                 0.5762,                0.28086,                0.73427,               0.006931,               0.006931,               0.006931
                     64,                0.38688,                0.25551,                   0.81,                0.97948,                 0.9864,                0.99306,                0.84552,                0.60703,                0.29696,                0.74237,              0.0068815,              0.0068815,              0.0068815
                     65,                0.38577,                0.26105,                0.81278,                0.97996,                0.97933,                0.99309,                0.82815,                0.63409,                0.29678,                0.75064,               0.006832,               0.006832,               0.006832
                     66,                0.38631,                0.25452,                0.80989,                0.98433,                0.98327,                0.99317,                0.84958,                0.58264,                0.28433,                0.74255,              0.0067825,              0.0067825,              0.0067825
                     67,                0.38087,                0.25187,                0.81182,                0.98654,                 0.9813,                0.99351,                0.85224,                0.60991,                0.29103,                 0.7493,               0.006733,               0.006733,               0.006733
                     68,                0.37599,                0.25499,                0.80849,                0.98713,                0.98152,                0.99338,                0.84013,                0.63379,                 0.2974,                0.75831,              0.0066835,              0.0066835,              0.0066835
                     69,                0.37807,                 0.2507,                0.81003,                0.98098,                0.98327,                0.99321,                0.86251,                0.57212,                0.27976,                0.73355,               0.006634,               0.006634,               0.006634
                     70,                0.37591,                0.24836,                0.80634,                0.98774,                0.97933,                0.99313,                0.85296,                0.60616,                0.28402,                0.73739,              0.0065845,              0.0065845,              0.0065845
                     71,                0.37042,                0.25412,                0.80683,                0.97831,                0.98228,                0.99299,                0.85572,                0.59782,                0.28329,                0.74271,               0.006535,               0.006535,               0.006535
                     72,                0.37207,                0.24778,                0.80958,                0.98221,                0.97803,                0.99289,                0.85157,                0.61716,                0.28014,                0.74631,              0.0064855,              0.0064855,              0.0064855
                     73,                0.36972,                0.24908,                0.80537,                0.98424,                0.98372,                0.99323,                0.84843,                0.62619,                0.28673,                0.75037,               0.006436,               0.006436,               0.006436
                     74,                0.36833,                 0.2449,                0.80787,                0.98029,                0.97883,                0.99289,                0.86668,                0.57998,                0.27565,                 0.7407,              0.0063865,              0.0063865,              0.0063865
                     75,                0.36497,                0.24284,                0.80793,                0.98381,                 0.9813,                0.99361,                0.86781,                0.57727,                0.26968,                0.73614,               0.006337,               0.006337,               0.006337
                     76,                0.36756,                0.24589,                0.80866,                0.98393,                0.98228,                0.99297,                0.85756,                0.59062,                 0.2831,                0.73641,              0.0062875,              0.0062875,              0.0062875
                     77,                0.36054,                0.24365,                0.80508,                0.97692,                0.98425,                0.99276,                0.86015,                0.57874,                 0.2723,                 0.7366,               0.006238,               0.006238,               0.006238
                     78,                0.36568,                0.24335,                0.80832,                0.98816,                0.97343,                0.99357,                0.86096,                0.61237,                 0.2755,                0.74598,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.3603,                0.24259,                0.80773,                0.98901,                0.97423,                0.99312,                0.85581,                 0.5927,                0.26916,                0.74009,               0.006139,               0.006139,               0.006139
                     80,                0.35359,                0.23947,                0.80743,                0.98857,                0.97835,                0.99304,                0.86483,                0.57511,                0.28037,                0.73314,              0.0060895,              0.0060895,              0.0060895
                     81,                0.36606,                0.24106,                0.80727,                0.98422,                0.98216,                0.99293,                0.86152,                0.57301,                  0.281,                 0.7354,                0.00604,                0.00604,                0.00604
                     82,                0.35623,                 0.2368,                0.80562,                0.98518,                0.98134,                0.99335,                0.86367,                0.61064,                0.28024,                0.73937,              0.0059905,              0.0059905,              0.0059905
                     83,                0.35689,                0.23819,                0.80675,                0.98507,                0.97736,                0.99274,                0.85791,                0.61197,                0.27509,                0.74291,               0.005941,               0.005941,               0.005941
                     84,                0.35385,                0.23542,                0.80416,                0.98691,                0.97835,                0.99336,                0.86067,                0.60174,                0.26352,                0.74121,              0.0058915,              0.0058915,              0.0058915
                     85,                0.35009,                0.23761,                 0.8068,                0.98911,                0.97835,                0.99349,                0.86813,                0.57647,                0.27953,                0.73425,               0.005842,               0.005842,               0.005842
                     86,                0.35026,                0.23345,                0.80515,                0.98133,                0.98327,                0.99313,                0.84677,                0.62743,                0.28173,                0.74559,              0.0057925,              0.0057925,              0.0057925
                     87,                0.35061,                0.23209,                0.80415,                0.98575,                0.98031,                0.99325,                0.86654,                0.58562,                0.26956,                0.74204,               0.005743,               0.005743,               0.005743
                     88,                0.35159,                0.23748,                0.80471,                0.97742,                0.97996,                0.99282,                 0.8576,                0.59241,                0.27947,                0.73924,              0.0056935,              0.0056935,              0.0056935
                     89,                0.34648,                0.23371,                0.80624,                0.97844,                0.98249,                0.99318,                0.85532,                 0.6277,                 0.2817,                0.74532,               0.005644,               0.005644,               0.005644
