                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.36509,                0.25005,                0.80948,                0.60173,                 0.6735,                0.62679,                0.50224,                0.58952,                0.29748,                0.73849,               0.006337,               0.006337,               0.006337
                     76,                0.36786,                 0.2468,                0.81067,                0.65243,                0.63008,                0.62716,                0.49904,                0.60622,                0.31507,                0.74722,              0.0062875,              0.0062875,              0.0062875
                     77,                0.36344,                0.24746,                0.80632,                 0.6703,                0.61265,                0.62312,                0.49683,                0.61276,                0.30969,                0.74792,               0.006238,               0.006238,               0.006238
                     78,                0.36577,                0.24713,                0.80873,                0.95788,                0.49914,                0.59813,                0.46683,                0.58181,                0.29639,                0.73831,              0.0061885,              0.0061885,              0.0061885
                     79,                0.35951,                0.24823,                0.80864,                0.62479,                0.82361,                0.66601,                0.52582,                0.59288,                0.29324,                0.74887,               0.006139,               0.006139,               0.006139
                     80,                0.35536,                0.24248,                0.80908,                0.53887,                0.73333,                0.60855,                0.49043,                0.59625,                0.31659,                0.75081,              0.0060895,              0.0060895,              0.0060895
                     81,                0.36194,                0.24678,                0.80814,                0.62289,                0.78984,                 0.6494,                0.51736,                0.56883,                0.28685,                0.74195,                0.00604,                0.00604,                0.00604
                     82,                0.35336,                0.24018,                0.80565,                0.53036,                0.61402,                0.58674,                0.46459,                0.61403,                0.32901,                0.74889,              0.0059905,              0.0059905,              0.0059905
                     83,                0.35684,                0.24535,                0.80888,                0.64318,                0.62269,                0.60314,                0.47757,                0.59206,                0.30043,                0.73772,               0.005941,               0.005941,               0.005941
                     84,                0.35354,                0.23663,                0.80529,                0.54917,                0.79282,                0.59764,                0.49577,                0.56627,                0.29635,                0.73647,              0.0058915,              0.0058915,              0.0058915
                     85,                0.34938,                0.24501,                0.80771,                0.53301,                0.50864,                 0.5488,                0.45596,                0.58655,                0.30256,                0.73715,               0.005842,               0.005842,               0.005842
                     86,                 0.3503,                0.23796,                 0.8064,                0.56271,                0.65265,                0.57862,                0.47425,                0.61796,                0.31191,                0.74878,              0.0057925,              0.0057925,              0.0057925
                     87,                0.35029,                0.23892,                0.80519,                0.63745,                0.61176,                0.63344,                0.51513,                 0.5624,                0.28584,                0.73609,               0.005743,               0.005743,               0.005743
                     88,                0.34943,                0.23933,                0.80585,                  0.594,                0.78588,                0.66549,                0.53015,                0.59195,                0.29228,                0.74348,              0.0056935,              0.0056935,              0.0056935
